AC No., AC ,PC,District,Percentage of total population,,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,Sikh Range,SC Pop.,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
62,Atam Nagar,Ludhiana,Ludhiana,45-50,0-5,50-55,11.59,0-5,95-100,85-90,85-90,75-80,IND,52.37,SAD,23.14,INC,19.34,IND,40.17,AAP,21.16,INC,19.61
63,Ludhiana Central,Ludhiana,Ludhiana,70-75,0-5,20-25,10.46,0-5,95-100,85-90,85-90,75-80,INC,49.08,BJP,41.68,IND,5.89,INC,37.02,SAD,26.20,IND,21.87
64,Ludhiana West,Ludhiana,Ludhiana,60-65,0-5,35-40,14.00,0-5,95-100,80-85,85-90,75-80,INC,62.81,BJP,30.17,CPI,4.78,AAP,31.22,INC,29.57,SAD,22.39
65,Ludhiana North,Ludhiana,Ludhiana,75-80,0-5,20-25,14.67,0-5,95-100,85-90,85-90,75-80,INC,43.36,BJP,41.41,BSP,9.25,INC,38.06,SAD,23.80,AAP,18.54
66,Gill (SC),Ludhiana,Ludhiana,15-20,0-5,80-85,38.89,75-80,20-25,80-85,80-85,75-80,SAD,46.48,INC,42.90,PPOP,5.20,AAP,27.59,INC,26.95,SAD,24.28
67,Payal (SC),Fatehgarh Sahib (SC),Ludhiana,10-15,0-5,85-90,35.48,80-85,15-20,75-80,80-85,70-75,SAD,45.97,INC,45.45,PPOP,3.73,AAP,35.48,SAD,31.48,INC,29.95
68,Dakha,Ludhiana,Ludhiana,10-15,0-5,85-90,34.90,85-90,10-15,80-85,80-85,75-80,SAD,52.19,INC,40.35,PPOP,6.05,AAP,34.58,SAD,30.28,INC,22.22
69,Raikot (SC),Fatehgarh Sahib (SC),Ludhiana,10-15,0-5,85-90,36.14,75-80,20-25,75-80,80-85,70-75,INC,45.89,SAD,42.29,PPOP,9.03,AAP,55.72,SAD,23.37,INC,17.78
70,Jagraon (SC),Ludhiana,Ludhiana,10-15,0-5,85-90,35.46,70-75,25-30,75-80,75-80,70-75,SAD,43.49,INC,43.32,PPOP,7.83,AAP,50.67,SAD,21.37,INC,19.38
71,Nihal Singh Wala (SC),Faridkot (SC),Moga,5-10,0-5,90-95,35.62,95-100,0-5,70-75,70-75,65-70,SAD,41.57,INC,41.15,CPI,12.63,AAP,60.09,SAD,19.71,INC,14.19
72,Bhagha Purana,Faridkot (SC),Moga,5-10,0-5,90-95,35.18,85-90,10-15,65-70,70-75,60-65,SAD,49.45,INC,41.24,PPOP,2.81,AAP,52.62,SAD,25.15,INC,17.94
73,Moga,Faridkot (SC),Moga,25-30,0-5,65-70,26.84,35-40,55-60,75-80,75-80,70-75,INC,46.40,SAD,42.95,PPOP,7.39,AAP,57.90,INC,19.46,SAD,18.16
74,Dharamkot,Faridkot (SC),Moga,5-10,0-5,90-95,29.79,85-90,10-15,65-70,70-75,60-65,SAD,47.29,INC,44.09,PPOP,5.11,AAP,44.76,SAD,29.23,INC,21.72
75,Zira,Khadoor Sahib,Firozpur,10-15,0-5,80-85,25.06,70-75,25-30,65-70,70-75,60-65,SAD,52.27,INC,43.51,PPOP,2.06,SAD,42.03,INC,37.61,AAP,15.66
76,Firozpur City,Ferozpur,Firozpur,55-60,0-5,40-45,21.36,35-40,60-65,70-75,75-80,65-70,INC,48.89,BJP,30.30,IND,16.21,INC,47.73,SAD,35.01,AAP,13.60
77,Firozpur Rural (SC),Ferozpur,Firozpur,15-20,0-5,80-85,29.14,85-90,10-15,65-70,70-75,60-65,SAD,45.40,INC,45.28,PPOP,5.60,SAD,43.93,INC,37.92,AAP,14.33
78,Guru Har Sahai,Ferozpur,Firozpur,40-45,0-5,55-60,17.17,90-95,5-10,65-70,70-75,55-60,INC,48.93,SAD,46.37,CPI,2.24,SAD,47.17,INC,38.82,AAP,11.15
79,Jalalabad,Ferozpur,Fazilka,35-40,0-5,60-65,22.75,85-90,10-15,65-70,70-75,60-65,SAD,53.98,IND,20.35,INC,12.03,SAD,55.40,INC,33.17,AAP,8.55
80,Fazilka,Ferozpur,Fazilka,65-70,0-5,30-35,18.29,65-70,30-35,65-70,75-80,60-65,BJP,32.38,IND,31.04,INC,25.50,SAD,49.32,INC,41.20,AAP,5.57
81,Abohar,Ferozpur,Fazilka,75-80,0-5,20-25,21.44,40-45,55-60,70-75,80-85,65-70,INC,48.41,IND,39.89,BJP,8.05,INC,43.79,SAD,38.44,AAP,10.38
82,Balluana (SC),Ferozpur,Fazilka,65-70,0-5,25-30,26.42,95-100,0-5,60-65,70-75,50-55,SAD,38.30,INC,31.93,IND,19.81,INC,45.84,SAD,40.96,AAP,6.40
83,Lambi,Bathinda,Muktsar,15-20,0-5,80-85,40.50,95-100,0-5,60-65,65-70,50-55,SAD,55.71,INC,35.44,PPOP,4.38,SAD,58.98,INC,29.90,AAP,5.60
84,Gidderbaha,Faridkot (SC),Muktsar,15-20,0-5,80-85,34.42,75-80,20-25,60-65,70-75,55-60,INC,40.40,SAD,29.43,PPOP,25.62,INC,42.49,SAD,40.06,AAP,11.65
85,Malout (SC),Ferozpur,Muktsar,35-40,0-5,60-65,40.62,60-65,30-35,65-70,70-75,60-65,SAD,43.40,INC,41.36,PPOP,7.09,INC,45.94,SAD,39.46,AAP,9.97
86,Muktsar,Ferozpur,Muktsar,25-30,0-5,70-75,35.38,45-50,50-55,65-70,70-75,60-65,INC,43.27,SAD,36.00,PPOP,13.35,SAD,43.91,INC,40.13,AAP,12.47
87,Faridkot,Faridkot (SC),Faridkot,20-25,0-5,75-80,35.25,55-60,40-45,70-75,75-80,65-70,SAD,46.42,INC,43.99,PPOP,4.06,AAP,50.59,SAD,22.86,INC,20.52
88,Kotkapura,Faridkot (SC),Faridkot,25-30,0-5,70-75,35.64,50-55,40-45,70-75,70-75,60-65,SAD,44.27,INC,27.96,IND,13.63,AAP,44.69,INC,25.58,SAD,24.78
