AC No., AC ,PC,District,Percentage of total population,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,SC%,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
91,Fatehpur Sikri,Fatehpur Sikri,Agra,85-90,5-10,20.34,80-85,15-20,70-75,80-85,55-60,BSP,33.09,IND,30.32,RLD,16.91,BJP,51.15,BSP,24.00,SP,15.70
92,Kheragarh,Fatehpur Sikri,Agra,95-100,0-5,20.29,90-95,5-10,70-75,80-85,55-60,BSP,36.36,SP,32.65,RLD,15.91,BJP,38.84,BSP,27.84,SP,26.07
93,Fatehabad,Fatehpur Sikri,Agra,95-100,0-5,17.75,85-90,10-15,60-65,75-80,50-55,BSP,39.70,SP,39.32,BJP,11.13,BJP,46.91,SP,25.80,BSP,20.91
94,Bah,Fatehpur Sikri,Agra,95-100,0-5,21.86,90-95,5-10,70-75,80-85,55-60,SP,54.07,BSP,39.67,BJP,1.31,SP,34.78,BJP,29.29,BSP,29.26
95,Tundla (SC),Firozabad,Firozabad,90-95,5-10,26.98,85-90,10-15,70-75,80-85,60-65,BSP,32.79,SP,28.96,BJP,28.25,BJP,45.60,SP,32.06,BSP,19.26
96,Jasrana,Firozabad,Firozabad,90-95,5-10,16.53,95-100,0-5,70-75,80-85,55-60,SP,51.31,BSP,37.24,BJP,2.06,SP,55.34,BJP,35.41,BSP,6.96
97,Firozabad,Firozabad,Firozabad,55-60,40-45,14.44,0-5,95-100,65-70,70-75,55-60,BJP,33.67,SP,32.76,BSP,23.29,BJP,44.41,SP,42.39,BSP,10.09
98,Shikohabad,Firozabad,Firozabad,90-95,5-10,18.02,60-65,35-40,70-75,80-85,60-65,SP,51.96,BSP,28.80,BJP,6.16,SP,49.93,BJP,35.97,BSP,11.14
99,Sirsaganj,Firozabad,Firozabad,90-95,0-5,18.70,90-95,5-10,75-80,80-85,60-65,SP,46.01,BSP,24.48,IND,17.15,SP,63.01,BJP,28.43,BSP,6.13
100,Kasganj,Etah,Kanshiram Nagar,85-90,10-15,17.77,70-75,25-30,60-65,70-75,50-55,SP,25.41,BSP,20.08,JaKP,18.35,BJP,50.68,SP,29.98,BSP,14.89
101,Amanpur,Etah,Kanshiram Nagar,80-85,10-15,19.12,90-95,5-10,60-65,70-75,45-50,BSP,23.82,SP,21.53,JaKP,19.10,BJP,53.44,SP,24.17,BSP,17.21
102,Patiyali,Etah,Kanshiram Nagar,75-80,20-25,16.37,75-80,20-25,55-60,65-70,45-50,SP,35.44,BSP,19.69,MD,15.98,BJP,40.98,SP,40.68,BSP,14.05
103,Aliganj,Farrukhabad,Etah,85-90,5-10,14.26,85-90,10-15,70-75,80-85,55-60,SP,45.63,BSP,32.60,JaKP,12.28,SP,57.73,BJP,27.50,BSP,6.15
