No. of AC,Name of AC,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,
,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Pirankaliyar,INC,Furkan Ahmad,29243,32.30,BJP,Jaibhagwan,27894,30.81,1349,1.49,IND,Shahzad,23843,26.34,BSP,Rao Sajid,6188,6.84,IND,Netra Pal,1367,1.51,350,0.39,1644,1.82,90529,IND,Moti Lal Maurya,519,0.57,IND,Mahak Singh Saini,329,0.36,IND,Sameer Alvi,227,0.25,BSDP,Afzal Ahmed,215,0.24,UKD,Nitin,197,0.22,IND,Sushma,157,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Roorkee,BJP,Pradeep Batra,40000,55.35,INC,Suresh Chand Jain,27458,38.00,12542,17.36,BSP,Ram Subhag Singh,3239,4.48,SP,Sunita Singh,918,1.27,UKD,Adesh Kumar Sharma,169,0.23,303,0.42,180,0.25,72267,PP,Sharad Pandey,72,0.10,IND,Yudhvijay Singh,65,0.09,IND,Narendra Singh,43,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Khanpur,BJP,Kunwar Parnav Singh Champion,53192,49.65,BSP,Mufti Riyasat Ali,39457,36.83,13735,12.82,INC,Choudhary Yashveer Singh,6894,6.43,IND,Ravinder Singh,4856,4.53,IND,Sunil,729,0.68,523,0.49,1483,1.38,107134,SSP,Pallavi Kukreti,373,0.35,IND,Virender Singh,338,0.32,UKD,Sanjay Singh,267,0.25,IND,Rishiram,134,0.13,IND,Mohd. Arshad,132,0.12,IND,Rajveer,115,0.11,IND,Pehal Singh,82,0.08,IND,Anil Kumar,42,0.04,,,,,,,,,,,,,,,,,,,,,,,,
33,Manglore,INC,Qazi Mohd Nizamuddin,31352,38.62,BSP,Sarwat Kareem Ansari,28684,35.33,2668,3.29,BJP,Rishipal Baliyan,16964,20.89,RLD,Letesh Kumar,3265,4.02,IND,Usha,333,0.41,278,0.34,315,0.39,81191,BMUP,Sunil Kumar,172,0.21,IND,Uberdur Rahaman,143,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Laksar,BJP,Sanjay Gupta,25248,32.34,INC,Haji Tasleem Ahmad,23644,30.29,1604,2.05,BSP,Subhash Singh Choudhary,19656,25.18,IND,Kushalpal Singh,6087,7.80,IND,Sumit,2415,3.09,287,0.37,733,0.94,78070,SP,Narendra,282,0.36,IND,Ratendra Tiwari,199,0.25,SHS,Mempal,96,0.12,IND,Julfukar Ansari,94,0.12,IND,Nidhi Singh,62,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Hardwar Rural,BJP,Yatishwaranand,44964,45.78,INC,Harish Chandra Singh Rawat,32686,33.28,12278,12.50,BSP,Mukarram,18383,18.72,UKD,Subash Chand,514,0.52,IND,Renu Notiyal,339,0.35,645,0.66,682,0.69,98213,IND,Vasim Ahmad,334,0.34,IND,Mustafa,201,0.20,IND,Nagendra Singh,147,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Yamkeshwar,BJP,Ritu Khanduri Bhushan,19671,43.01,IND,Renu Bisht,10689,23.37,8982,19.64,INC,Shailendra Singh Rawat,10283,22.49,IND,Prashant Badoni,2698,5.90,UKD,Shanti Prasad Bhatt,542,1.19,988,2.16,860,1.88,45731,BSP,Jagpal Singh Negi,375,0.82,IND,Kirshan Chandra,250,0.55,IND,(Brig) Govind Prasad Barthwal,235,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Pauri (SC),BJP,Mukesh Singh Koli,26469,54.41,INC,Naval Kishor,19439,39.96,7030,14.45,IND,Hari Kumar,593,1.22,BSP,Ramesh Chander,364,0.75,UKD,Vir Pratap Singh,323,0.66,693,1.42,770,1.58,48651,IND,Devaki Nandan Shah,282,0.58,UKD(D),Anil Kumar,184,0.38,IND,Vijay Singh,153,0.31,URM,Manohar Lal Pahari,151,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Srinagar,BJP,Dr. Dhan Singh Rawat,30816,51.24,INC,Ganesh Godiyal,22118,36.78,8698,14.46,IND,Mohan Prasad Kala,4854,8.07,IND,Naveen Prakash Nautiyal,608,1.01,BSP,Ganesh Prasad,532,0.88,697,1.16,516,0.86,60141,UKD,Dhirendra Singh Bisht,516,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Chaubattakhal,BJP,Satpal Maharaj,20921,48.82,INC,Rajpal Singh Bisht,13567,31.66,7354,17.16,IND,Sunder Singh Chauhan,2545,5.94,IND,Kavinder Istwal,2339,5.46,IND,Satendra Singh,965,2.25,210,0.49,2303,5.37,42850,IND,Nandan Singh Rawat,433,1.01,IND,Ramendra Singh Bhandari,323,0.75,UKD(D),Anu Pant,316,0.74,IND,Manju Rawat,241,0.56,PMP,Poonam Kaintura,212,0.49,BSP,Bhartendu,211,0.49,UKD,Subodh Pokhriyal,196,0.46,RAP,Sushil Chandra,162,0.38,UPP,Prem Sundriyal,121,0.28,SP,Chndra Mohan Mundepi,88,0.21,,,,,,,,,,,,,,,,
