No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,,20th Position,,,,21th Position,,,,22th Position,,,,23th Position,,,,24th Position,,,,25th Position,,,,26th Position,,,,27th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Mahadewa (SC),V,BJP,Ravi Kumar Sonkar,82429,41.36,BSP,Doodhram,56545,28.37,25884,12.99,SP,Ram Karan Arya,47914,24.04,NISHAD,Govardhan,5639,2.83,IND,Mansharam,1642,0.82,2231,1.12,2917,1.46,199317,RLD,Lavkush,1234,0.62,IND,Devi Prasad,713,0.36,BMUP,Chandresh Gautam,546,0.27,IND,Umesh Chandra Vyas,424,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Menhdawal,V,BJP,Rakesh Singh Baghel,86976,39.10,BSP,Anil Kumar Tripathi,44062,19.81,42914,19.29,SP,Jaichand Alias Jairam Pandey,37557,16.89,PECP,Er. Mohammad Irfan,25499,11.46,AIMEIM,Mohd. Tabish Khan,19040,8.56,266,0.12,9023,4.06,222423,RLD,Mohd. Akram Husain,3445,1.55,IND,Mukesh Kumar,1435,0.65,IND,Ram Krishna,1249,0.56,IND,Rajaram,856,0.38,IND,Awadhesh,747,0.34,IND,Ajay Kumar,731,0.33,IND,Amit Kumar,560,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Khalilabad,V,BJP,Digvijay Narayan Alis Jay Chaubey,72061,32.17,BSP,Mashhoor Alam Choudhary,56024,25.01,16037,7.16,PECP,Dr. Mohd. Ayub,42041,18.77,SP,Javed Ahmed,28274,12.62,RLD,Ganga Singh,6872,3.07,835,0.37,17901,7.99,224008,CPI,Vijay Kumar Shukla Advocate,2590,1.16,AIMEIM,Tafsirullah,2578,1.15,NCP,Dhanushdhari,1530,0.68,IND,Prem Prakash Tripathi,1500,0.67,IND,Manbhawati,1394,0.62,IND,Sunita Yadav,1296,0.58,IND,Dharmendra Kumar,896,0.40,IND,Pradeep Gupta,749,0.33,IND,Ram Ajor,726,0.32,PPI,Mohammad Ali,687,0.31,SSP,Alauddin,668,0.30,BSS,Ramswarath,651,0.29,IND,Satya Narayan,622,0.28,BMUP,Shailendra Kumar,527,0.24,IND,Baijnath,507,0.23,IND,Baddhnath Tiwari,503,0.22,IND,Amrata Singh,477,0.21,,,,,,,,,,,,,,,,,,,,
314,Dhanghata (SC),V,BJP,Shri Ram Chauhan,79572,39.73,SP,Algoo Prasad,62663,31.29,16909,8.44,BSP,Neel Mani,51938,25.93,BMUP,Jokhoo Prasad,1362,0.68,IND,Banti Lal,751,0.37,1871,0.93,2118,1.06,200275,SHSP,Lotan Alias Lautan Prasad,746,0.37,BSS,Dharm Das,698,0.35,IND,Ajay Kumar,674,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Pharenda,V,BJP,Bajrang Bahadur Singh,76312,38.36,INC,Virendra Chaudhary,73958,37.18,2354,1.18,BSP,Vechan,35765,17.98,RLD,Vijay Singh,2742,1.38,NISHAD,Raj Kumar Nishad,1930,0.97,1992,1.00,6246,3.14,198945,AIMEIM,Reena,1878,0.94,SHS,Jitendar,1006,0.51,LD,Shashi Bhooshan,885,0.44,IND,Gobind Das,769,0.39,PECP,Rajendera,645,0.32,JHSP,Shiv Kumari Devi,634,0.32,BMUP,Nagendra Nath,429,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Nautanwa,VI,IND,Aman Mani Tripathi,79666,37.07,SP,Kunwar Kaushal Kishore Singh (Munna Singh),47410,22.06,32256,15.01,BJP,Sameer Tripathi,45050,20.96,BSP,Aijaz Ahmad,26210,12.19,NISHAD,Anil Kumar Nishad (Sahani),5447,2.53,3490,1.62,7654,3.56,214927,RLD,Sada Mohan Upadhyay,2770,1.29,AIMEIM,Kamini Jaiswal,1797,0.84,BMUP,Shambhoo Prasad Prajapati,1358,0.63,JANP,Abhishek Joshi,927,0.43,NCP,Satish Kumar Chaturvedi,802,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Siswa,VI,BJP,Premsagar Patel,122884,51.34,SP,Shivendra Singh Alias Shivbabu,54698,22.85,68186,28.49,BSP,Raghvendra Pratap Alias Ankit Singh,46185,19.29,IND,Rakesh Kumar Alias R. K. Mishra,4073,1.70,PECP,Yash Tripathi,2659,1.11,2501,1.04,6366,2.66,239366,IND,Manorama,2301,0.96,IND,Sahajad Ahamad Alias Sahajad Ali,1314,0.55,CPI(ML)(L),Harishchandra Jaisawal Alias Harish Bhai,843,0.35,RLD,Harishchandra,840,0.35,AMSP,Digvijay,546,0.23,BMUP,Bhuneshwar Alias Bhuvaneshwar Kumar Patel,522,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Maharajganj (SC),VI,BJP,Jaimangal,125154,50.63,BSP,Nirmesh Mangal,56793,22.97,68361,27.66,INC,Alok Prasad,50217,20.31,CPI,Ramkeval,3886,1.57,NISHAD,Sant Kirpal,3604,1.46,2573,1.04,4989,2.02,247216,IND,Dr. Sunil Kumar,1536,0.62,IND,Ram Asish,1398,0.57,BKP,Manoj Kumar Kannojia,1156,0.47,BMUP,Sadhu Sharan,899,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Paniyara,VI,BJP,Gyanendra,119308,48.92,BSP,Ganesh Shanker Pandey,51817,21.25,67491,27.67,INC,Talat Aziz,48004,19.68,NISHAD,Suman,10762,4.41,RLD,Ganpat Singh,3561,1.46,2124,0.87,8310,3.41,243886,LD,Ajay Kumar,1638,0.67,IND,Prafull,1187,0.49,IND,Santosh,1118,0.46,IND,Rajesh Kumar,994,0.41,ABSP,Satrughna Alias Satrughan Singh Nishad,879,0.36,IND,Umesh,719,0.29,MKD,Ghanshyam Kumar Gupt,682,0.28,IND,Janardan,547,0.22,BMUP,Rakesh,546,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Caimpiyarganj,VI,BJP,Fateh Bahadur,91636,42.29,INC,Chinta Yadav,58782,27.12,32854,15.17,BSP,Anand Nishad,39243,18.11,NISHAD,Mohamad Mainuddin,10935,5.05,RLD,Gorakh Singh,7265,3.35,1806,0.83,7043,3.25,216710,NCP,Srikant Gupta Sahu,1681,0.78,IND,Ashok,897,0.41,IND,Akhtar,882,0.41,BMUP,Satish Chandra Gond,740,0.34,LD,Vinod,694,0.32,IND,Rampal,594,0.27,RKSP,Mahesh Kumar,563,0.26,RMGP,Dinesh Nishad,501,0.23,JAP(L),Mritunjay Kumar Maurya,491,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Pipraich,VI,BJP,Mahendra Pal Singh,82739,33.63,BSP,Afatab Alam Urf Guddu Bhaiya,69930,28.43,12809,5.20,SP,Amrendra Nishad,51031,20.74,IND,Anita Jaiswal,31073,12.63,IND,Bhpuendra,1177,0.48,1204,0.49,8861,3.60,246015,BSCP,Surjeet,1144,0.47,JANP,Naumi Nath,1080,0.44,IND,Kanhai,1022,0.42,IND,Abhimanyu,970,0.39,BMUP,Bahadur Nishad,953,0.39,RLD,Anupama Arya,676,0.27,IND,Sangeeta Devi,605,0.25,NCP,Anil,544,0.22,LD,Shivdatt,437,0.18,SJP,Satyendra,366,0.15,RJDP,Bharat Singh,310,0.13,IND,Kamlesh Sahani,305,0.12,IND,Radheshyam Sehra,246,0.10,IND,Ram Sajeevan,203,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Gorakhpur Urban,VI,BJP,Dr. Radha Mohan Das Agrawal,122221,55.85,INC,Rana Rahul Singh,61491,28.10,60730,27.75,BSP,Janardan Choudhari,24297,11.10,PECP,Arun Kumar Shrivastava,2252,1.03,RLD,Vinod Kumar Rai,946,0.43,839,0.38,6785,3.10,218831,IND,Prabal Pratap Shahi,851,0.39,IND,Anil,705,0.32,IND,Mohan Das Agrawal,620,0.28,IND,Satya Prakash,606,0.28,IND,Vindu Devi,469,0.21,IND,Shailesh Kumar,393,0.18,SKP,Nanda Singh,385,0.18,IND,Mohit Jaysawal,343,0.16,SBP,Ajay Pandey,334,0.15,BMUP,Vinod Kumar Bhartiya,305,0.14,BSCP,Mina Tripathi,291,0.13,IND,Arun Kumar,280,0.13,GGP,Amrendra,269,0.12,IND,Kishan Chand,232,0.11,JANP,Ram Davan Maurya,205,0.09,IND,Shatrughan Kumar,182,0.08,RJDP,Seshnath Pandey,172,0.08,IND,Vinay Kumar Pandey,143,0.07,,,,,,,,,,,,,,,,
323,Gorakhpur Rural,VI,BJP,Bipin Singh,83686,35.47,SP,Vijay Bahadur Yadav,79276,33.60,4410,1.87,NISHAD,Sanjay Kumar,34901,14.79,BSP,Rajesh Pandey,30097,12.75,CPI,Adil Akhtar,1539,0.65,1634,0.69,4830,2.05,235963,ADUP,Kaushilya Devi,1006,0.43,IND,Malti Devi,936,0.40,SBP,Binay Kumar Pandey,797,0.34,IND,Santosh Kumar Gupta,652,0.28,BMUP,Vakil Kumar Nishad,540,0.23,NCP,Ishrawati,465,0.20,RLD,Gulab Chandra Yadav,434,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Sahajanwa,VI,BJP,Sheetal Pandey,72213,34.49,SP,Yaspal Singh Rawat,56836,27.14,15377,7.35,BSP,Devnarayan Singh Urf G.M. Singh,54143,25.86,NISHAD,Shivaji Singh,15780,7.54,SSD,Asha Nishad,2024,0.97,1723,0.82,6664,3.18,209383,IND,Indresh Singh Yadav,1648,0.79,IND,Prince Kumar Singh,1261,0.60,NCP,Amit Ram Tripathi,1162,0.55,IND,Arvind Kumar Rai ( Advocate),1049,0.50,VP,Ramesh Chandra,600,0.29,BMUP,Rajesh Kumar,553,0.26,BSDP,Kesri,391,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Khajani (SC),VI,BJP,Sant Prasad,71492,38.07,BSP,Rajkumar,51413,27.38,20079,10.69,SP,Rupawati Beldar,42085,22.41,NISHAD,Vidya Sagar,11289,6.01,INC,Commando Kamal Kishor,4653,2.48,2085,1.11,4781,2.55,187798,IND,Shyam Charan,1175,0.63,AMSP,Rajesh,1112,0.59,BMUP,Virendra Kumar,935,0.50,JANP,Ram Chandra,781,0.42,IND,Kali Charan Beldar,778,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Chauri-Chaura,VI,BJP,Sangeeta Yadav,87863,45.35,SP,Manurojan Yadav,42203,21.79,45660,23.56,BSP,Jai Prakash,37478,19.35,NISHAD,Ishvar Chand,13048,6.74,NCP,Dudhnath Kewat,2045,1.06,1150,0.59,9937,5.13,193724,BMUP,Amar Singh Paswan,1340,0.69,IND,Rakesh,1268,0.65,IND,Fakhruddin Ali,882,0.46,RLD,Adya,846,0.44,GGP,Bhola Prasad,831,0.43,IND,Suresh,757,0.39,MVP,Sarvadanand,627,0.32,RMGP,Daya Shankar Nishad,611,0.32,SHS,Virendra Tiwari,556,0.29,IND,Virendra Vikram Singh,539,0.28,IND,Amit Dubey Urf Chandan,449,0.23,LD,Ramkishun,390,0.20,IND,Rajan Yadav Urf Arthi Baba,383,0.20,BSJP,Baijnath Verma,259,0.13,IND,Surbjit,199,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Bansgaon (SC),VI,BJP,Vimlesh Paswan,71966,40.25,BSP,Dharmendra Kumar,49093,27.45,22873,12.80,SP,Sharada Devi,44051,24.63,NISHAD,Nandlal,7892,4.41,IND,Ramdhari,1496,0.84,2143,1.20,2177,1.22,178818,BMUP,Pushpa Devi,798,0.45,JANP,Ram Singh,742,0.41,HAP,Savitri,637,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Chillupar,VI,BSP,Vinay Shankar Tiwari,78177,35.48,BJP,Rajesh Tripathi,74818,33.96,3359,1.52,SP,Ram Bhual Nishad,55422,25.16,NISHAD,Yogesh Mani Tiwari,3241,1.47,IND,Poonam Gupta,1418,0.64,2512,1.14,4729,2.15,220317,BMUP,Ganesh Shankar Singh Sainthwar,1276,0.58,JANP,Radheshyam,1228,0.56,IND,Soniya Shukla,1122,0.51,IND,Sindh Vijay Yadav,1103,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Khadda,VI,BJP,Jatashanker Tripathi,82537,42.26,BSP,Vijay Pratap Kushwaha,44040,22.55,38497,19.71,SP,Vijendra Pal Yadav,34982,17.91,AIMEIM,Nisar Ahmad,8903,4.56,PECP,Kishor Kumar,7126,3.65,2140,1.10,15600,7.99,195328,SHS,Ajay Govind Rao,4721,2.42,IND,Rajkumar Tulsyan,2120,1.09,RLD,Dhananjay,1934,0.99,IND,Vijai Yadav,1549,0.79,IND,Hasina,1412,0.72,IND,Vijay Kushwaha,1371,0.70,IND,Chhotelal,821,0.42,JHJBP,Lachhan Prasad Prajapati,590,0.30,IND,Rajanish Kushwaha,573,0.29,JANP,Ramdhani,509,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Padrauna,VI,BJP,Swami Prasad Maurya,93649,44.44,BSP,Javed Iqbal,53097,25.20,40552,19.24,INC,Shivkumari Devi,41162,19.53,PECP,Rajendra Alias Munna Yadav,8329,3.95,IND,Rajesh Prasad Saini,2196,1.04,1658,0.79,10651,5.05,210742,IND,Ajay Kumar Aliyas Pappu Pandey,1677,0.80,IND,Rampratap,1594,0.76,IND,Dr. Parshuram Mishra,1588,0.75,BMUP,Ramesh,1471,0.70,RLD,Kanhaiya Pandey,1224,0.58,IND,Vijay Kumar Chaurasiya,954,0.45,IND,Kanhaiya Sharma,939,0.45,IND,Raju Singh Patel,752,0.36,IND,Arvind,452,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Tamkuhi Raj,VI,INC,Ajay Kumar Lallu,61211,28.43,BJP,Jagadish Mishra Alias Balti Baba,43097,20.02,18114,8.41,BSP,Bijay Rai,41685,19.36,NISHAD,Dr.P.K.Rai,29759,13.82,IND,Nandkishor Mishra,23423,10.88,3305,1.54,12808,5.95,215288,IND,Shrikant Mishra,3210,1.49,IND,Vishnu Prabhakar,2858,1.33,BSDP,Ranjan Rai Nirala,1891,0.88,NCP,Munir Ahamad,1094,0.51,IND,Chandan Singh,945,0.44,BMUP,Vinod Kumar Bharti,674,0.31,LD,Subhash,661,0.31,RJDP,Nurul Hoda,604,0.28,RLD,Swaminath,492,0.23,PoPP,Keshav Pal,379,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Fazilnagar,VI,BJP,Ganga,102778,47.94,SP,Vishwnath,60856,28.38,41922,19.56,BSP,Jagdish Singh,34250,15.97,CPI,Mohan,2581,1.20,PECP,Azimullah Alias Guddu,2210,1.03,2811,1.31,8923,4.16,214409,IND,Sunil Alias Manoj Singh,1966,0.92,IND,Birja,1050,0.49,BMUP,Rajmangal Yadav,1002,0.47,IND,Saharun Nisa,893,0.42,RLD,Jawahar Lal Yadav,817,0.38,IND,Rajkumar,808,0.38,NCP,Saroj Ahamad,735,0.34,IND,Nandlal Gupt Vidrohi,584,0.27,IND,Archana Pandey,550,0.26,BSDP,Vinod,518,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Kushinagar,VI,BJP,Rajnikant Mani Tripathi,97132,47.72,BSP,Rajesh Pratap Rav Alias Banti Bhaiya,49029,24.09,48103,23.63,SP,Brahmashankar Tripathi,46369,22.78,NCP,Zakir Ali,1764,0.87,PECP,Satvant Yadav,1726,0.85,2208,1.08,5321,2.61,203549,BSCP,Vidaya Sagar Singh,1358,0.67,IND,Sudhakar Pandey,1085,0.53,IND,Radhika Devi,1011,0.50,IND,Ambrish Kumar Srivastav,964,0.47,JANP,Manish Kumar Gupta,903,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Hata,VI,BJP,Pawan Kumar,103864,49.87,SP,Radheshyam Singh,50788,24.39,53076,25.48,BSP,Virendra,42651,20.48,NISHAD,Ajay Rav,2366,1.14,IND,Shailendra Pratap Singh Alias Himalay,1432,0.69,1933,0.93,5223,2.51,208257,RLD,Anil,1328,0.64,BSCP,Ranapratap,1180,0.57,IND,Mahendra,827,0.40,SHS,Vrijemohan,800,0.38,SKP,Mamata Singh,465,0.22,ADUP,Arti,340,0.16,RJDP,Jamased Aalam Beg,283,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Ramkola (SC),VI,SBSP,Ramanand Baudh,102782,52.10,SP,Purnmasi Dehati,47053,23.85,55729,28.25,BSP,Vijay Kumar,28471,14.43,NISHAD,Buddha Upasak Kashyap,6602,3.35,IND,Mahendra Prasad,1868,0.95,3144,1.59,7343,3.72,197263,RLD,Chandarika,1528,0.77,UPRP,Madanlal Alias Baggha Bhai,1466,0.74,IND,Rammurat Paswan,1355,0.69,BMUP,Sitaram Morya,1207,0.61,IND,Mrityunjai Kumar,927,0.47,BSJP,Chhedi,860,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Rudrapur,VI,BJP,Jai Prakash Nishad,77754,47.31,INC,Akhilesh Pratap Singh,50965,31.01,26789,16.30,BSP,Chandrika Nishad,23081,14.04,NISHAD,Kaushal Pandey,2591,1.58,IND,Veer Sen Singh Yadav,1856,1.13,2561,1.56,5545,3.37,164353,MVP,Awadh Narayan,1431,0.87,IND,Sabbir Ahamad,1328,0.81,IND,Prabha Shankar Tripathi,732,0.45,ADVP,Rampravesh Alias Pahalwan Sadhu Yadav,709,0.43,JANP,Sheshnath,459,0.28,BSJP,Rambrichh Rao,453,0.28,BSNP,Kumari Kunjawati,433,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Deoria,VI,BJP,Janmejai Singh,88030,48.03,SP,J.P. Jaiswal,41794,22.80,46236,25.23,BSP,Abhay Nath Tripathi,29218,15.94,PECP,Vijay Pratap Yadav,12696,6.93,CPI,Rakesh Kumar Pathak,1791,0.98,1440,0.79,8320,4.54,183289,IND,Bakridan,1737,0.95,IND,Nityanand Pandey,1448,0.79,IND,Mannu Tiwari,952,0.52,RLD,Krishna,820,0.45,MP,Raju Chauhan,657,0.36,LD,Narendra Mani Tripathi,610,0.33,IND,Vijay Juaatha,599,0.33,JANP,Pushpendra Verma,557,0.30,MKD,Sanjay Kumar Viswakarma,523,0.29,BSJP,Udai Bhan Nishad,417,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Pathardeva,VI,BJP,Surya Pratap Shahi,99812,52.09,SP,Shakir Ali,56815,29.65,42997,22.44,BSP,Neeraj,22790,11.89,PECP,Harun Ali,4139,2.16,AIMEIM,Zainul Abedin,1820,0.95,1450,0.76,4788,2.50,191614,IND,Guddu,1053,0.55,RLD,Ranjit,1002,0.52,IND,Rambadan Singh,567,0.30,BSCP,Pradeep,455,0.24,ADUP,Durga Singh Patel,442,0.23,BSJP,Sanjay Srivastava,398,0.21,BJD(I),Rama Ishvar Kurmi,365,0.19,BMUP,Surajan,272,0.14,BJS,Shanker Lal,234,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Rampur Karkhana,VI,BJP,Kamlesh Shukla,62886,32.69,SP,Fasiha Manzer Ghazala Lari,52899,27.50,9987,5.19,IND,Girijesh Alias Guddu Shahi,41814,21.74,BSP,Rajeev Kumar Singh,22610,11.75,CPI,Anand Prakash,2454,1.28,2032,1.06,7682,3.99,192377,IND,Girijesh Yadav,1718,0.89,RLD,Shivaji,1411,0.73,IND,Daroga Yadav,1224,0.64,JANP,Shambhu Sharan Kushwaha,824,0.43,RPI(A),Saroj Pandey,816,0.42,SSAP,Anand Prakash Shahi,746,0.39,NCP,Sanjay Kushwaha,532,0.28,BMUP,Natthu Yadav,411,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Bhatpar Rani,VI,SP,Ashutosh,61862,34.09,BJP,Jaynath Kushwaha Urf Guddan,50765,27.98,11097,6.11,BSP,Sabhakunwar,44161,24.34,IND,Ashwani Kumar Singh,13497,7.44,IND,Ram Pravesh Yadav,1421,0.78,2039,1.12,7720,4.25,181465,RLD,Basadev,1223,0.67,IND,Santosh Kumar,1122,0.62,ADUP,Dayanand,1023,0.56,IND,Jitendra,949,0.52,IND,Mahesh,917,0.51,CPIM,Sadhusaran,860,0.47,CPI(ML)(L),Amarnath,580,0.32,RPI,Vindyachal,561,0.31,NP,Bhartendu Urf Martand,485,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Salempur (SC),VI,BJP,Kali Prasad,76175,46.90,SP,Vijay Laxmi Gautam,50521,31.10,25654,15.80,BSP,Ranvijay,28152,17.33,CPIM,Satish Kumar,2280,1.40,IND,Ramkripal,1055,0.65,1951,1.20,2287,1.41,162421,PECP,Munnilal Paswan,812,0.50,JANP,Ramesh Chanda Sahani,661,0.41,CPI(ML)(L),Arun Kumar,441,0.27,BMUP,Chandeshwar,373,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Barhaj,VI,BJP,Suresh Tiwari,61996,36.76,BSP,Murli Manohar Jaiswal,50280,29.82,11716,6.94,SP,Purnendu Tiwari Urf P.D.Tiwari,27761,16.46,IND,Girendra Pratap Yadav,18489,10.96,CPI,Jai Prakash Kushwaha,2106,1.25,1338,0.79,6658,3.95,168628,IND,Dr. Chaturanan Ojha,1277,0.76,RLD,Suresh Singh Yadav,1002,0.59,BSCP,Jai Prakash Urf Swamiji,821,0.49,HJM,Bijai Shankar Singh Kaushik,793,0.47,SSAP,Chhotelal Tiwari,787,0.47,SwSP,Harekrishan Singh Vishen,787,0.47,CPI(ML)(L),Klector Sharma,459,0.27,MKD,Rajesh Kumar Yadav,371,0.22,MVP,Rain Mishra Urf Dimpu,361,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Atrauliya,VI,SP,Dr.Sangram Yadav,74276,35.17,BJP,Kanhaiya Lal Nishad,71809,34.00,2467,1.17,BSP,Akhand Pratap Singh,56536,26.77,CPI,Triloki Nath,2730,1.29,RLD,Harishchand,953,0.45,1980,0.94,2926,1.39,211210,IND,Videshi,813,0.38,BSS,Lautan,448,0.21,IND,Laxmi Prasad,404,0.19,BMUP,Anant Prasad,377,0.18,RMGP,Shravan,369,0.17,FDP,Ramkripal,317,0.15,ASAP,Yadunath,198,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Gopalpur,VI,SP,Nafees Ahmad,70980,37.50,BJP,Shrikrishna Pal,56020,29.59,14960,7.91,BSP,Kamla Prasad Yadav,54271,28.67,CPI,Imteyaz Beg,2351,1.24,RLD,Chandrmohan,1117,0.59,1521,0.80,3040,1.61,189300,ASAP,Aniruddha Ram Pasi,742,0.39,IND,Munna Lal,592,0.31,BMUP,Rajaram Yadav,529,0.28,PMP,Haushila,442,0.23,BBPP,Veena,385,0.20,FDP,Harihar Prasad Pandey,350,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Sagri,VI,BSP,Bandana Singh,62203,34.73,SP,Jairam Patel,56728,31.67,5475,3.06,BJP,Devendra Kumar Singh,40786,22.77,IND,Gopal Nishad,5876,3.28,NISHAD,Ritu Khare,2427,1.35,964,0.54,10141,5.66,179125,IND,Vijay Kumar Gond,1716,0.96,RaJaPa,Sanjay Rai,1515,0.85,NCP,Anurag Yadav,1474,0.82,CPI,Shreekant Singh,1269,0.71,RLD,Daya Shankar Bhatt,982,0.55,AD,Ranajeet Singh Alias Kaviji,581,0.32,LD,Dhanesh Yadav,544,0.30,IND,Ajay Kumar Gautam,539,0.30,PMP,Awadhesh Gautam,539,0.30,BMUP,Rajesh Kumar Yadav,527,0.29,HAP,Radhey Shyam Yadav,455,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
